,state,county,expense.rent,pop
2357,AR,Mississippi County,5021.71427815536,46480
2432,AR,Ouachita County,5069.71427815536,26120
2522,AR,Pope County,5129.71427815536,61754
2552,AR,Pulaski County,7217.71427815536,382748
2597,AR,Saline County,7217.71427815536,107118
2642,AR,Sebastian County,5141.71427815536,125744
2582,AR,St. Francis County,4685.71427815536,28258
2702,AR,Union County,5609.71427815536,41639
2732,AR,Washington County,5825.71427815536,203065
2747,AR,White County,5225.71427815536,77076
1442,AZ,Apache County,5885.71427815536,71518
1457,AZ,Cochise County,6497.71427815536,131346
1472,AZ,Coconino County,10877.7142781554,134421
1487,AZ,Gila County,6857.71427815536,53597
1502,AZ,Graham County,7205.71427815536,37220
1547,AZ,Maricopa County,9209.71427815536,3817117
1562,AZ,Mohave County,6173.71427815536,200186
1577,AZ,Navajo County,6221.71427815536,107449
1592,AZ,Pima County,6989.71427815536,980263
1607,AZ,Pinal County,9209.71427815536,375770
1622,AZ,Santa Cruz County,5585.71427815536,47420
1637,AZ,Yavapai County,7481.71427815536,211033
1652,AZ,Yuma County,6029.71427815536,195751
2792,CA,Alameda County,19265.7142781554,1510271
2822,CA,Amador County,8621.71427815536,38091
2837,CA,Butte County,9521.71427815536,220000
2852,CA,Calaveras County,8381.71427815536,45578
2882,CA,Contra Costa County,19265.7142781554,1049025
2897,CA,Del Norte County,7781.71427815536,28610
2912,CA,El Dorado County,10409.7142781554,181058
2927,CA,Fresno County,8021.71427815536,930450
2942,CA,Glenn County,6377.71427815536,28122
2957,CA,Humboldt County,7973.71427815536,134623
2972,CA,Imperial County,7589.71427815536,174528
3002,CA,Kern County,7325.71427815536,839631
3017,CA,Kings County,8525.71427815536,152982
3032,CA,Lake County,7613.71427815536,64665
3047,CA,Lassen County,6485.71427815536,34895
3062,CA,Los Angeles County,15401.7142781554,9818605
3077,CA,Madera County,8045.71427815536,150865
3092,CA,Marin County,29525.7142781554,252409
3122,CA,Mendocino County,8573.71427815536,87841
3137,CA,Merced County,6953.71427815536,255793
3182,CA,Monterey County,13673.7142781554,415057
3197,CA,Napa County,14261.7142781554,136484
3212,CA,Nevada County,9785.71427815536,98764
3227,CA,Orange County,18377.7142781554,3010232
3242,CA,Placer County,10409.7142781554,348432
3272,CA,Riverside County,10625.7142781554,2189641
3287,CA,Sacramento County,10409.7142781554,1418788
3302,CA,San Benito County,14669.7142781554,55269
3317,CA,San Bernardino County,10625.7142781554,2035210
3332,CA,San Diego County,17873.7142781554,3095313
3347,CA,San Francisco County,29525.7142781554,805235
3362,CA,San Joaquin County,8705.71427815536,685306
3377,CA,San Luis Obispo County,13145.7142781554,269637
3392,CA,San Mateo County,29525.7142781554,718451
3407,CA,Santa Barbara County,18797.7142781554,423895
3422,CA,Santa Clara County,26585.7142781554,1781642
3437,CA,Santa Cruz County,20921.7142781554,262382
3452,CA,Shasta County,7889.71427815536,177223
3482,CA,Siskiyou County,6413.71427815536,44900
3497,CA,Solano County,13001.7142781554,413344
3512,CA,Sonoma County,16157.7142781554,483878
3527,CA,Stanislaus County,8429.71427815536,514453
3542,CA,Sutter County,6881.71427815536,94737
3557,CA,Tehama County,6389.71427815536,63463
3587,CA,Tulare County,7181.71427815536,442179
3602,CA,Tuolumne County,8357.71427815536,55365
3617,CA,Ventura County,15137.7142781554,823318
3632,CA,Yolo County,10973.7142781554,200849
3647,CA,Yuba County,6881.71427815536,72155
3662,CO,Adams County,13241.7142781554,441603
3692,CO,Arapahoe County,13241.7142781554,572003
3752,CO,Boulder County,13697.7142781554,294567
3767,CO,Broomfield County,13241.7142781554,55889
3887,CO,Delta County,7253.71427815536,30952
3902,CO,Denver County,13241.7142781554,600158
3932,CO,Douglas County,13241.7142781554,285465
3947,CO,Eagle County,12233.7142781554,52197
3977,CO,El Paso County,8789.71427815536,622263
3992,CO,Fremont County,6245.71427815536,46824
4007,CO,Garfield County,9557.71427815536,56389
4112,CO,Jefferson County,13241.7142781554,534543
4172,CO,La Plata County,9605.71427815536,51334
4187,CO,Larimer County,11093.7142781554,299630
4247,CO,Mesa County,6437.71427815536,146723
4292,CO,Montezuma County,6257.71427815536,25535
4307,CO,Montrose County,6785.71427815536,41276
4322,CO,Morgan County,6053.71427815536,28159
4427,CO,Pueblo County,6725.71427815536,159063
4547,CO,Summit County,12077.7142781554,27994
4592,CO,Weld County,8345.71427815536,252825
0,CT,Fairfield County,13829.7142781554,916829
0,CT,Hartford County,10313.7142781554,894014
0,CT,Litchfield County,9485.71427815536,189927
0,CT,Middlesex County,10313.7142781554,1668761
0,CT,New Haven County,12125.7142781554,862477
0,CT,New London County,9569.71427815536,274055
0,CT,Tolland County,10313.7142781554,152691
0,CT,Windham County,8693.71427815536,162941
0,DC,District of Columbia,16241.7142781554,601723
7157,DE,Kent County,9293.71427815536,162310
7172,DE,New Castle County,10697.7142781554,538479
7187,DE,Sussex County,8537.71427815536,197145
7217,FL,Alachua County,8069.71427815536,247336
7232,FL,Baker County,6257.71427815536,27115
7247,FL,Bay County,9197.71427815536,168852
7262,FL,Bradford County,6065.71427815536,28520
7277,FL,Brevard County,8357.71427815536,543376
7292,FL,Broward County,12413.7142781554,1748066
7322,FL,Charlotte County,7913.71427815536,159978
7337,FL,Citrus County,6473.71427815536,141236
7352,FL,Clay County,8369.71427815536,190865
7367,FL,Collier County,11777.7142781554,321520
7382,FL,Columbia County,6629.71427815536,67531
7397,FL,DeSoto County,5525.71427815536,34862
7427,FL,Duval County,8369.71427815536,864263
7442,FL,Escambia County,8321.71427815536,297619
7457,FL,Flagler County,10013.7142781554,95696
7487,FL,Gadsden County,8105.71427815536,46389
7562,FL,Hardee County,6065.71427815536,27731
7577,FL,Hendry County,6629.71427815536,39140
7592,FL,Hernando County,9785.71427815536,172778
7607,FL,Highlands County,6425.71427815536,98786
7622,FL,Hillsborough County,9785.71427815536,1229226
7652,FL,Indian River County,8417.71427815536,138028
7667,FL,Jackson County,6065.71427815536,49746
7712,FL,Lake County,10841.7142781554,297052
7727,FL,Lee County,8849.71427815536,618754
7742,FL,Leon County,8105.71427815536,275487
7757,FL,Levy County,5117.71427815536,40801
7802,FL,Manatee County,9893.71427815536,322833
7817,FL,Marion County,7337.71427815536,331298
7832,FL,Martin County,9269.71427815536,146318
7847,FL,Miami-Dade County,12557.7142781554,2496435
7862,FL,Monroe County,13673.7142781554,73090
7877,FL,Nassau County,8369.71427815536,73314
7892,FL,Okaloosa County,9017.71427815536,180822
7907,FL,Okeechobee County,6653.71427815536,39996
7922,FL,Orange County,10841.7142781554,1145956
7937,FL,Osceola County,10841.7142781554,268685
7952,FL,Palm Beach County,12533.7142781554,1320134
7967,FL,Pasco County,9785.71427815536,464697
7982,FL,Pinellas County,9785.71427815536,916542
7997,FL,Polk County,7289.71427815536,602095
8012,FL,Putnam County,6209.71427815536,74364
8057,FL,Santa Rosa County,8321.71427815536,151372
8072,FL,Sarasota County,9893.71427815536,379448
8087,FL,Seminole County,10841.7142781554,422718
8027,FL,St. Johns County,8369.71427815536,190039
8042,FL,St. Lucie County,9269.71427815536,277789
8102,FL,Sumter County,6473.71427815536,93420
8117,FL,Suwannee County,6065.71427815536,41551
8162,FL,Volusia County,9209.71427815536,494593
8177,FL,Wakulla County,8057.71427815536,30776
8192,FL,Walton County,7409.71427815536,55043
8282,GA,Baldwin County,6269.71427815536,45720
8312,GA,Barrow County,10385.7142781554,69367
8327,GA,Bartow County,10385.7142781554,100157
8372,GA,Bibb County,7037.71427815536,155547
8432,GA,Bryan County,9233.71427815536,30233
8447,GA,Bulloch County,5777.71427815536,70217
8507,GA,Camden County,7349.71427815536,50513
8537,GA,Carroll County,10385.7142781554,110527
8552,GA,Catoosa County,7121.71427815536,63942
8582,GA,Chatham County,9233.71427815536,265128
8612,GA,Chattooga County,4781.71427815536,26015
8627,GA,Cherokee County,10385.7142781554,214346
8642,GA,Clarke County,6797.71427815536,116714
8672,GA,Clayton County,10385.7142781554,259424
8702,GA,Cobb County,10385.7142781554,688078
8717,GA,Coffee County,5537.71427815536,42356
8732,GA,Colquitt County,5141.71427815536,45498
8747,GA,Columbia County,7157.71427815536,124053
8777,GA,Coweta County,10385.7142781554,127317
8867,GA,DeKalb County,10385.7142781554,691893
8852,GA,Decatur County,4913.71427815536,27842
8912,GA,Dougherty County,5597.71427815536,94565
8927,GA,Douglas County,10385.7142781554,132403
8972,GA,Effingham County,9233.71427815536,52250
9047,GA,Fayette County,10385.7142781554,106567
9062,GA,Floyd County,6077.71427815536,96317
9077,GA,Forsyth County,10385.7142781554,175511
9107,GA,Fulton County,10385.7142781554,920581
9122,GA,Gilmer County,5909.71427815536,28292
9152,GA,Glynn County,6437.71427815536,79626
9167,GA,Gordon County,5225.71427815536,55186
9182,GA,Grady County,5789.71427815536,25011
9212,GA,Gwinnett County,10385.7142781554,805321
9227,GA,Habersham County,5213.71427815536,43041
9242,GA,Hall County,8141.71427815536,179684
9272,GA,Haralson County,7073.71427815536,28780
9287,GA,Harris County,7361.71427815536,32024
9302,GA,Hart County,4781.71427815536,25213
9332,GA,Henry County,10385.7142781554,203922
9347,GA,Houston County,8153.71427815536,139900
9377,GA,Jackson County,5777.71427815536,60485
9467,GA,Jones County,7037.71427815536,28669
9512,GA,Laurens County,5261.71427815536,48434
9527,GA,Lee County,5597.71427815536,28298
9542,GA,Liberty County,8093.71427815536,63453
9587,GA,Lowndes County,5225.71427815536,109233
9602,GA,Lumpkin County,6377.71427815536,29966
9662,GA,Madison County,6797.71427815536,28120
9737,GA,Monroe County,6329.71427815536,26424
9782,GA,Murray County,5177.71427815536,39628
9797,GA,Muscogee County,7361.71427815536,189885
9812,GA,Newton County,10385.7142781554,99958
9827,GA,Oconee County,6797.71427815536,32808
9857,GA,Paulding County,10385.7142781554,142324
9872,GA,Peach County,5837.71427815536,27695
9887,GA,Pickens County,10385.7142781554,29431
9932,GA,Polk County,5513.71427815536,41475
10022,GA,Richmond County,7157.71427815536,200549
10037,GA,Rockdale County,10385.7142781554,85215
10097,GA,Spalding County,10385.7142781554,64073
10112,GA,Stephens County,4781.71427815536,26175
10142,GA,Sumter County,5285.71427815536,32819
10187,GA,Tattnall County,5705.71427815536,25520
10247,GA,Thomas County,6125.71427815536,44720
10262,GA,Tift County,5045.71427815536,40118
10277,GA,Toombs County,5501.71427815536,27223
10322,GA,Troup County,6281.71427815536,67044
10382,GA,Upson County,5741.71427815536,27153
10397,GA,Walker County,7121.71427815536,68756
10412,GA,Walton County,10385.7142781554,83768
10427,GA,Ware County,4853.71427815536,36312
10472,GA,Wayne County,4781.71427815536,30099
10517,GA,White County,5765.71427815536,27144
10532,GA,Whitfield County,6413.71427815536,102599
10607,HI,Hawaii County,11009.7142781554,185079
10622,HI,Honolulu County,17549.7142781554,953207
10652,HI,Kauai County,13313.7142781554,67091
10667,HI,Maui County,14813.7142781554,154834
14327,IA,Benton County,5105.71427815536,26076
14342,IA,Black Hawk County,6737.71427815536,131090
14357,IA,Boone County,6029.71427815536,26306
14492,IA,Cerro Gordo County,5537.71427815536,44151
14582,IA,Clinton County,5465.71427815536,49116
14612,IA,Dallas County,7625.71427815536,66135
14672,IA,Des Moines County,5585.71427815536,40325
14702,IA,Dubuque County,5981.71427815536,93653
14987,IA,Jasper County,5249.71427815536,36842
15017,IA,Johnson County,7001.71427815536,130882
15077,IA,Lee County,5321.71427815536,35862
15092,IA,Linn County,6161.71427815536,211226
15182,IA,Marion County,5453.71427815536,33309
15197,IA,Marshall County,5573.71427815536,40648
15287,IA,Muscatine County,6533.71427815536,42745
15392,IA,Polk County,7625.71427815536,430640
15407,IA,Pottawattamie County,7721.71427815536,93158
15467,IA,Scott County,6569.71427815536,165224
15497,IA,Sioux County,4841.71427815536,33704
15512,IA,Story County,7913.71427815536,89542
15587,IA,Wapello County,5429.71427815536,35625
15602,IA,Warren County,7625.71427815536,46225
15647,IA,Webster County,5021.71427815536,38013
15692,IA,Woodbury County,6233.71427815536,102172
10682,ID,Ada County,7049.71427815536,392365
10712,ID,Bannock County,5153.71427815536,82839
10757,ID,Bingham County,5285.71427815536,45607
10802,ID,Bonner County,5933.71427815536,40877
10817,ID,Bonneville County,5573.71427815536,104234
10877,ID,Canyon County,7049.71427815536,188923
10967,ID,Elmore County,5705.71427815536,27038
11057,ID,Jefferson County,5573.71427815536,26140
11087,ID,Kootenai County,6641.71427815536,138494
11102,ID,Latah County,5717.71427815536,37244
11162,ID,Madison County,6425.71427815536,37536
11192,ID,Nez Perce County,6125.71427815536,39265
11297,ID,Twin Falls County,5609.71427815536,77230
11342,IL,Adams County,5513.71427815536,67103
11387,IL,Boone County,6053.71427815536,54165
11417,IL,Bureau County,5561.71427815536,34978
11477,IL,Champaign County,7145.71427815536,201081
11492,IL,Christian County,5597.71427815536,34800
11537,IL,Clinton County,7349.71427815536,37762
11552,IL,Coles County,5909.71427815536,53873
11567,IL,Cook County,11321.7142781554,5194675
11612,IL,DeKalb County,7589.71427815536,105160
11657,IL,DuPage County,11321.7142781554,916924
11702,IL,Effingham County,5249.71427815536,34242
11747,IL,Franklin County,5369.71427815536,39561
11762,IL,Fulton County,5789.71427815536,37069
11807,IL,Grundy County,8981.71427815536,50063
11882,IL,Henry County,6569.71427815536,50486
11897,IL,Iroquois County,5549.71427815536,29718
11912,IL,Jackson County,5549.71427815536,60218
11942,IL,Jefferson County,5297.71427815536,38827
12002,IL,Kane County,11321.7142781554,515269
12017,IL,Kankakee County,6881.71427815536,113449
12032,IL,Kendall County,10001.7142781554,114736
12047,IL,Knox County,5117.71427815536,52919
12077,IL,La Salle County,5921.71427815536,113924
12062,IL,Lake County,11321.7142781554,703462
12107,IL,Lee County,5693.71427815536,36031
12122,IL,Livingston County,5261.71427815536,38950
12137,IL,Logan County,5393.71427815536,30305
12197,IL,Macon County,5645.71427815536,110768
12212,IL,Macoupin County,5117.71427815536,47765
12227,IL,Madison County,7349.71427815536,269282
12242,IL,Marion County,5117.71427815536,39437
12152,IL,McDonough County,5597.71427815536,32612
12167,IL,McHenry County,11321.7142781554,308760
12182,IL,McLean County,6557.71427815536,169572
12332,IL,Monroe County,7349.71427815536,32957
12347,IL,Montgomery County,5477.71427815536,30104
12362,IL,Morgan County,5357.71427815536,35547
12392,IL,Ogle County,5741.71427815536,53497
12407,IL,Peoria County,6341.71427815536,186494
12512,IL,Randolph County,5813.71427815536,33476
12542,IL,Rock Island County,6569.71427815536,147546
12587,IL,Sangamon County,6677.71427815536,197465
12557,IL,St. Clair County,7349.71427815536,270056
12662,IL,Stephenson County,5117.71427815536,47711
12677,IL,Tazewell County,6341.71427815536,135394
12707,IL,Vermilion County,5525.71427815536,81625
12797,IL,Whiteside County,5873.71427815536,58498
12812,IL,Will County,11321.7142781554,677560
12827,IL,Williamson County,5141.71427815536,66357
12842,IL,Winnebago County,6053.71427815536,295266
12857,IL,Woodford County,6341.71427815536,38664
12872,IN,Adams County,5777.71427815536,34387
12887,IN,Allen County,6173.71427815536,355329
12902,IN,Bartholomew County,7397.71427815536,76794
12947,IN,Boone County,7805.71427815536,56640
12992,IN,Cass County,5033.71427815536,38966
13007,IN,Clark County,7049.71427815536,110232
13022,IN,Clay County,6437.71427815536,26890
13037,IN,Clinton County,5333.71427815536,33224
13067,IN,Daviess County,5033.71427815536,31648
13112,IN,DeKalb County,5573.71427815536,42223
13082,IN,Dearborn County,6833.71427815536,50047
13097,IN,Decatur County,6005.71427815536,25740
13127,IN,Delaware County,5501.71427815536,117671
13142,IN,Dubois County,5153.71427815536,41889
13157,IN,Elkhart County,6221.71427815536,197559
13187,IN,Floyd County,7049.71427815536,74578
13247,IN,Gibson County,5921.71427815536,33503
13262,IN,Grant County,5489.71427815536,70061
13277,IN,Greene County,5597.71427815536,33165
13292,IN,Hamilton County,7805.71427815536,274569
13307,IN,Hancock County,7805.71427815536,70002
13322,IN,Harrison County,7049.71427815536,39364
13337,IN,Hendricks County,7805.71427815536,145448
13352,IN,Henry County,5429.71427815536,49462
13367,IN,Howard County,5465.71427815536,82752
13382,IN,Huntington County,5477.71427815536,37124
13397,IN,Jackson County,6017.71427815536,42376
13412,IN,Jasper County,6437.71427815536,33478
13442,IN,Jefferson County,5561.71427815536,32428
13457,IN,Jennings County,5369.71427815536,28525
13472,IN,Johnson County,7805.71427815536,139654
13487,IN,Knox County,5321.71427815536,38440
13502,IN,Kosciusko County,6113.71427815536,77358
13517,IN,LaGrange County,5513.71427815536,37128
13547,IN,LaPorte County,5921.71427815536,111467
13532,IN,Lake County,7805.71427815536,496005
13562,IN,Lawrence County,5273.71427815536,46134
13577,IN,Madison County,6113.71427815536,131636
13592,IN,Marion County,7805.71427815536,903393
13607,IN,Marshall County,5357.71427815536,47051
13637,IN,Miami County,6005.71427815536,36903
13652,IN,Monroe County,7625.71427815536,137974
13667,IN,Montgomery County,5345.71427815536,38124
13682,IN,Morgan County,7805.71427815536,68894
13712,IN,Noble County,5693.71427815536,47536
13817,IN,Porter County,7805.71427815536,164343
13832,IN,Posey County,6137.71427815536,25910
13862,IN,Putnam County,5585.71427815536,37963
13877,IN,Randolph County,5453.71427815536,26171
13892,IN,Ripley County,5405.71427815536,28818
13952,IN,Shelby County,7805.71427815536,44436
13922,IN,St. Joseph County,6617.71427815536,266931
13997,IN,Steuben County,5537.71427815536,34185
14042,IN,Tippecanoe County,7277.71427815536,172780
14087,IN,Vanderburgh County,6137.71427815536,179703
14117,IN,Vigo County,6437.71427815536,107848
14132,IN,Wabash County,5141.71427815536,32888
14162,IN,Warrick County,6137.71427815536,59689
14177,IN,Washington County,5285.71427815536,28262
14192,IN,Wayne County,5081.71427815536,68917
14207,IN,Wells County,6173.71427815536,27636
14237,IN,Whitley County,6173.71427815536,33292
15797,KS,Barton County,4889.71427815536,27674
15842,KS,Butler County,5969.71427815536,65880
15992,KS,Cowley County,4889.71427815536,36311
16007,KS,Crawford County,5177.71427815536,39134
16067,KS,Douglas County,7265.71427815536,110826
16112,KS,Ellis County,5117.71427815536,28452
16142,KS,Finney County,5897.71427815536,36776
16157,KS,Ford County,5477.71427815536,33848
16172,KS,Franklin County,5801.71427815536,25992
16187,KS,Geary County,7517.71427815536,34362
16322,KS,Harvey County,5969.71427815536,34684
16412,KS,Johnson County,8225.71427815536,544179
16502,KS,Leavenworth County,8225.71427815536,76227
16562,KS,Lyon County,4889.71427815536,33690
16577,KS,McPherson County,5369.71427815536,29180
16637,KS,Miami County,8225.71427815536,32787
16667,KS,Montgomery County,4889.71427815536,35471
16892,KS,Reno County,5405.71427815536,64511
16937,KS,Riley County,7517.71427815536,71115
16997,KS,Saline County,5813.71427815536,55606
17027,KS,Sedgwick County,5969.71427815536,498365
17057,KS,Shawnee County,5909.71427815536,177934
17297,KS,Wyandotte County,8225.71427815536,157505
17372,KY,Barren County,5081.71427815536,42173
17402,KY,Bell County,4925.71427815536,28691
17417,KY,Boone County,6833.71427815536,118811
17447,KY,Boyd County,6101.71427815536,49542
17462,KY,Boyle County,5345.71427815536,28432
17522,KY,Bullitt County,7049.71427815536,74319
17567,KY,Calloway County,4949.71427815536,37191
17582,KY,Campbell County,6833.71427815536,90336
17627,KY,Carter County,4397.71427815536,27720
17657,KY,Christian County,7061.71427815536,73955
17672,KY,Clark County,7097.71427815536,35613
17747,KY,Daviess County,5645.71427815536,96656
17807,KY,Fayette County,7097.71427815536,295803
17837,KY,Floyd County,4877.71427815536,39451
17852,KY,Franklin County,6377.71427815536,49285
17927,KY,Graves County,4397.71427815536,37121
17942,KY,Grayson County,5261.71427815536,25746
17972,KY,Greenup County,6101.71427815536,36910
18002,KY,Hardin County,5741.71427815536,105543
18017,KY,Harlan County,4817.71427815536,29278
18062,KY,Henderson County,6137.71427815536,46250
18107,KY,Hopkins County,4493.71427815536,46920
18137,KY,Jefferson County,7049.71427815536,741096
18152,KY,Jessamine County,7097.71427815536,48586
18182,KY,Kenton County,6833.71427815536,159720
18212,KY,Knox County,5069.71427815536,31883
18242,KY,Laurel County,5309.71427815536,58849
18362,KY,Logan County,4961.71427815536,26835
18437,KY,Madison County,5057.71427815536,82916
18482,KY,Marshall County,5969.71427815536,31448
18392,KY,McCracken County,5405.71427815536,65565
18527,KY,Meade County,5477.71427815536,28602
18602,KY,Montgomery County,5129.71427815536,26499
18632,KY,Muhlenberg County,4757.71427815536,31499
18647,KY,Nelson County,5129.71427815536,43437
18692,KY,Oldham County,7049.71427815536,60316
18752,KY,Perry County,4661.71427815536,28712
18767,KY,Pike County,4997.71427815536,65024
18797,KY,Pulaski County,4625.71427815536,63063
18872,KY,Scott County,7097.71427815536,47173
18887,KY,Shelby County,6209.71427815536,42074
19007,KY,Warren County,6173.71427815536,113792
19067,KY,Whitley County,5153.71427815536,35637
19112,LA,Acadia Parish,4613.71427815536,61773
19127,LA,Allen Parish,5069.71427815536,25764
19142,LA,Ascension Parish,8981.71427815536,107215
19172,LA,Avoyelles Parish,5033.71427815536,42073
19187,LA,Beauregard Parish,5465.71427815536,35654
19217,LA,Bossier Parish,7409.71427815536,116979
19232,LA,Caddo Parish,7409.71427815536,254969
19247,LA,Calcasieu Parish,6725.71427815536,192768
19337,LA,De Soto Parish,7409.71427815536,26656
19352,LA,East Baton Rouge Parish,8981.71427815536,440171
19397,LA,Evangeline Parish,4793.71427815536,33984
19442,LA,Iberia Parish,5921.71427815536,73240
19457,LA,Iberville Parish,6749.71427815536,33387
19502,LA,Jefferson Davis Parish,5513.71427815536,31594
19487,LA,Jefferson Parish,8921.71427815536,432552
19517,LA,Lafayette Parish,7553.71427815536,221578
19532,LA,Lafourche Parish,6821.71427815536,96318
19562,LA,Lincoln Parish,6197.71427815536,46735
19577,LA,Livingston Parish,8981.71427815536,128026
19607,LA,Morehouse Parish,5513.71427815536,27979
19622,LA,Natchitoches Parish,5369.71427815536,39566
19637,LA,Orleans Parish,8921.71427815536,343829
19652,LA,Ouachita Parish,5741.71427815536,153720
19697,LA,Rapides Parish,6269.71427815536,131613
19757,LA,St. Bernard Parish,8921.71427815536,35897
19772,LA,St. Charles Parish,8921.71427815536,52780
19817,LA,St. John the Baptist Parish,8921.71427815536,45924
19832,LA,St. Landry Parish,4973.71427815536,83384
19847,LA,St. Martin Parish,7553.71427815536,52160
19862,LA,St. Mary Parish,5993.71427815536,54650
19877,LA,St. Tammany Parish,8921.71427815536,233740
19892,LA,Tangipahoa Parish,6533.71427815536,121097
19922,LA,Terrebonne Parish,6821.71427815536,111860
19952,LA,Vermilion Parish,5777.71427815536,57999
19967,LA,Vernon Parish,7793.71427815536,52334
19982,LA,Washington Parish,5513.71427815536,47168
19997,LA,Webster Parish,5513.71427815536,41207
0,MA,Barnstable County,12617.7142781554,215888
0,MA,Berkshire County,8909.71427815536,131219
0,MA,Bristol County,8117.71427815536,598160
0,MA,Essex County,20405.7142781554,749465
0,MA,Hampden County,8765.71427815536,463490
0,MA,Hampshire County,8765.71427815536,158080
0,MA,Norfolk County,12425.7142781554,670850
0,MA,Plymouth County,12425.7142781554,494919
0,MA,Suffolk County,20405.7142781554,722023
0,MA,Worcester County,8777.71427815536,798552
28007,MD,Allegany County,5909.71427815536,75087
28022,MD,Anne Arundel County,11681.7142781554,537656
28037,MD,Baltimore County,11681.7142781554,805029
28352,MD,Baltimore city,11681.7142781554,620961
28052,MD,Calvert County,16241.7142781554,88737
28067,MD,Caroline County,7553.71427815536,33066
28082,MD,Carroll County,11681.7142781554,167134
28097,MD,Cecil County,10697.7142781554,101108
28112,MD,Charles County,16241.7142781554,146551
28127,MD,Dorchester County,8069.71427815536,32618
28142,MD,Frederick County,16241.7142781554,233385
28157,MD,Garrett County,5741.71427815536,30097
28172,MD,Harford County,11681.7142781554,244826
28187,MD,Howard County,11681.7142781554,287085
28217,MD,Montgomery County,16241.7142781554,971777
28232,MD,Prince George's County,16241.7142781554,863420
28247,MD,Queen Anne's County,11681.7142781554,47798
28277,MD,Somerset County,7409.71427815536,26470
28262,MD,St. Mary's County,12017.7142781554,105151
28292,MD,Talbot County,9329.71427815536,37782
28307,MD,Washington County,7697.71427815536,147430
28322,MD,Wicomico County,9581.71427815536,98733
28337,MD,Worcester County,8585.71427815536,51454
0,ME,Androscoggin County,7337.71427815536,107702
0,ME,Aroostook County,6389.71427815536,68473
0,ME,Cumberland County,8705.71427815536,281098
0,ME,Franklin County,6593.71427815536,148063
0,ME,Hancock County,8117.71427815536,52727
0,ME,Kennebec County,7061.71427815536,122108
0,ME,Knox County,7949.71427815536,39655
0,ME,Lincoln County,8273.71427815536,33669
0,ME,Oxford County,7001.71427815536,56611
0,ME,Penobscot County,6737.71427815536,143678
0,ME,Sagadahoc County,8777.71427815536,35293
0,ME,Somerset County,6749.71427815536,51024
0,ME,Waldo County,8117.71427815536,38786
0,ME,Washington County,6425.71427815536,214070
0,ME,York County,9281.71427815536,197131
33662,MI,Allegan County,6557.71427815536,111408
