,county,state,CDBG_AMT,ESG_AMT,HOME_AMT,HOPWA_AMT,TOT_AMT
113,Middlesex,MA,9125311,744509,3607927,1416588,14894335
114,Middlesex,NJ,1857906,146399,1548837,0,3553142
115,Milwaukee,WI,15835003,1302832,5967429,768917,23874181
116,Mobile,AL,2347011,193122,862989,0,3403122
117,Monmouth,NJ,2618435,199439,1493634,0,4311508
118,Monroe,NY,9889025,822804,3733210,890163,15335202
119,Monterey,CA,2093734,170830,838381,0,3102945
120,Montgomery,AL,1756276,139508,985165,0,2880949
121,Montgomery,MD,4637289,374421,1932285,0,6943995
122,Montgomery,OH,7651079,621715,2633868,0,10906662
123,Montgomery,PA,3267341,265971,1329959,0,4863271
124,Montgomery,TX,2597984,219997,688627,0,3506608
125,Morris,NJ,1932888,159260,845330,0,2937478
126,Multnomah,OR,8590688,701174,4134231,1409247,14835340
127,Nassau,NY,14217229,1174057,2493935,0,17885221
128,New Castle,DE,4501168,370171,1544439,772728,7188506
129,New Haven,CT,5907918,483140,2204632,1076899,9672589
130,New York,NY,166605497,13529906,75481734,44228148,299845285
131,Niagara,NY,2348583,196629,484840,0,3030052
132,Norfolk,MA,1798521,150286,823713,0,2772520
133,Norfolk,VA,4323842,351181,1278608,0,5953631
134,Nueces,TX,2687817,216522,1188809,0,4093148
135,Oakland,MI,5439436,327422,3066105,0,8832963
136,Oklahoma,OK,4901496,394559,2482884,702611,8481550
137,Oneida,NY,2447259,197502,694059,0,3338820
138,Onondaga,NY,7097263,563335,2115139,0,9775737
139,Orange,CA,15423521,1225939,5114901,1988481,23752842
140,Orange,FL,8631070,686940,4026483,3841118,17185611
141,Orange,NY,1727262,138158,1231539,0,3096959
142,Orleans,LA,12434552,1012117,2741764,3891572,20080005
143,Palm Beach,FL,6442365,524079,2340834,0,9307278
144,Pasco,FL,2905340,233424,1184193,0,4322957
145,Passaic,NJ,2272921,185243,1334211,1608136,5400511
146,Peoria,IL,1715087,139601,715855,0,2570543
147,Philadelphia,PA,42566974,3483946,11248050,7375786,64674756
148,Pierce,WA,5434437,439103,2747270,0,8620810
149,Pima,AZ,8422699,681954,3508146,589416,13202215
150,Pinellas,FL,4205276,370928,2290254,0,6866458
151,Polk,FL,3496218,265524,1277198,0,5038940
152,Polk,IA,3692162,306430,1035653,0,5034245
153,Prince Georges,MD,4987427,409657,1631301,0,7028385
154,Prince William,VA,2504696,201653,919946,0,3626295
155,Providence,RI,8244627,688765,2711253,1133603,12778248
156,Racine,WI,1899987,157032,534124,0,2591143
157,Ramsey,MN,6822334,566521,1938350,0,9327205
158,Rensselaer,NY,1756812,146826,0,0,1903638
159,Richmond,GA,1773043,148479,992568,1059712,3973802
160,Richmond,VA,4442476,366794,1500301,1050009,7359580
161,Riverside,CA,13131078,1127973,4458640,2587369,21305060
162,Roanoke,VA,1732287,139611,606064,0,2477962
163,Rockland,NY,1604910,192236,687165,0,2484311
164,Sacramento,CA,10578234,861558,5813366,1177649,18430807
165,Saginaw,MI,2142651,174251,440562,0,2757464
166,Saint Joseph,IN,2572155,212959,1030317,0,3815431
167,Saint Louis,MN,2364628,197842,596143,0,3158613
168,Salt Lake,UT,6054351,503149,2848993,472196,9878689
169,San Antonio,TX,12741544,1044792,5491627,1606272,20884235
170,San Bernardino,CA,14514877,1184678,6212770,0,21912325
171,San Diego,CA,20078479,1641125,10663289,3686397,36069290
172,San Francisco,CA,18139217,1479175,5896427,7162248,32677067
173,San Joaquin,CA,6136524,512674,2868487,0,9517685
174,San Luis Obispo,CA,1912980,148036,1051839,0,3112855
175,San Mateo,CA,2606598,205222,1617142,0,4428962
176,Santa Clara,CA,8927311,737828,3550726,1131945,14347810
177,Sarasota,FL,1655633,137472,0,0,1793105
178,Schenectady,NY,2238619,187522,1188662,0,3614803
179,Sedgwick,KS,2806389,230074,1498828,0,4535291
180,Seminole,FL,1906512,149759,734777,0,2791048
181,Shawnee,KS,1828435,147220,601656,0,2577311
182,Snohomish,WA,3060216,246964,2020077,0,5327257
183,Sonoma,CA,1859218,152599,887581,0,2899398
184,Spokane,WA,3259133,271343,1269887,0,4800363
185,St Louis,MN,1929025,162426,581466,0,2672917
186,St Louis,MO,5605876,449066,3751455,0,9806397
187,St. Louis,MO,17798425,1461624,2962106,1824610,24046765
188,Stanislaus,CA,4394286,360499,992925,0,5747710
189,Stark,OH,2583276,212944,653549,0,3449769
190,Suffolk,MA,17229498,1418872,5863642,2588781,27100793
191,Suffolk,NY,1207904,262918,726913,0,2197735
192,Summit,OH,6070743,499371,1486290,0,8056404
193,Tarrant,TX,14620127,1082831,5586406,1332758,22622122
194,Travis,TX,7895853,647777,3428034,1469160,13440824
195,Tulsa,OK,3349811,274358,1788115,466513,5878797
196,Union,NJ,6254483,526308,2202887,0,8983678
197,Vanderburgh,IN,2625817,217217,738503,0,3581537
198,Ventura,CA,4241768,342421,1458498,0,6042687
199,Virginia Beach,VA,2000832,164230,1122655,1524127,4811844
200,Volusia,FL,1856367,155890,802479,0,2814736
201,Wake,NC,5108942,407594,2479018,716346,8711900
202,Washington,DC,15223007,1241749,5637890,11221025,33323671
203,Washington,OR,2143998,169025,1694985,0,4008008
204,Washington,PA,3477368,284470,632569,0,4394407
205,Washoe,NV,2172128,173881,1459596,0,3805605
206,Washtenaw,MI,2109235,166259,1390533,0,3666027
207,Wayne,MI,41737475,3417867,10099588,2723332,57978262
208,Webb,TX,3729949,306204,1178458,0,5214611
209,West Tennessee,TN,6586442,540655,3580035,3547703,14254835
210,Westchester,NY,3365440,277639,1180175,0,4823254
211,Westmoreland,PA,3409812,281726,968292,0,4659830
212,Will,IL,2090783,141915,1284391,0,3517089
213,Winnebago,IL,2130539,178770,992417,0,3301726
214,Worcester,MA,4368288,355942,1580338,587285,6891853
215,Wyandotte,KS,2237090,181922,846746,0,3265758
216,York,PA,2158832,174860,884681,0,3218373
