,state,county,fips,expense.rent,pop,Percent 20-49,Percent Male 20-49,Median Age,overall pop,u18 pop,18-24 pop,male pop,female pop,force,ue%,CDBG_AMT,ESG_AMT,HOME_AMT,HOPWA_AMT,TOT_AMT,inc,% change
35,AL,Mobile,01097,6965.71427815536,412992,44.9,44.6,38.8,585.0,148.0,30.0,352.0,230.0,191711.0,4.7,2347011.0,193122.0,862989.0,0.0,3403122.0,46418,8.6
36,AL,Montgomery,01101,7145.71427815536,229363,46.5,47.0,37.2,1213.0,392.0,77.0,566.0,646.0,106663.0,4.9,1756276.0,139508.0,985165.0,0.0,2880949.0,50337,7.9
37,AL,Morgan,01103,5129.71427815536,119490,41.3,42.8,40.8,,,,,,59256.0,2.6,0.0,0.0,0.0,0.0,0.0,47479,8.3
38,AL,Pike,01109,5273.71427815536,32899,,,,,,,,,16017.0,3.2,0.0,0.0,0.0,0.0,0.0,44659,8.4
39,AL,Russell,01113,7361.71427815536,52947,,,,,,,,,23281.0,3.1,0.0,0.0,0.0,0.0,0.0,39378,8.3
40,AL,Shelby,01117,7949.71427815536,195085,44.4,44.7,40.6,,,,,,118212.0,2.1,0.0,0.0,0.0,0.0,0.0,64350,4.5
41,AL,St. Clair,01115,7949.71427815536,83593,42.8,44.4,41.3,,,,,,41195.0,2.6,0.0,0.0,0.0,0.0,0.0,47117,5.4
42,AL,Talladega,01121,4889.71427815536,82291,43.8,46.3,42.9,,,,,,35695.0,4.1,0.0,0.0,0.0,0.0,0.0,40668,7.1
43,AL,Tallapoosa,01123,5261.71427815536,41616,,,,,,,,,17910.0,4.0,0.0,0.0,0.0,0.0,0.0,48344,6.2
44,AL,Tuscaloosa,01125,7253.71427815536,194656,50.0,50.7,34.4,40.0,4.0,0.0,20.0,20.0,101104.0,3.6,0.0,0.0,0.0,0.0,0.0,43439,6.8
45,AL,Walker,01127,4817.71427815536,67023,,,,,,,,,25085.0,3.6,0.0,0.0,0.0,0.0,0.0,47239,5.6
46,AR,Baxter,05005,5285.71427815536,41513,,,,,,,,,16287.0,3.7,0.0,0.0,0.0,0.0,0.0,43479,6.3
47,AR,Benton,05007,5825.71427815536,221339,48.0,48.7,35.8,,,,,,141991.0,2.8,0.0,0.0,0.0,0.0,0.0,91687,0.1
48,AR,Boone,05009,4697.71427815536,36903,,,,,,,,,15782.0,3.0,0.0,0.0,0.0,0.0,0.0,42642,6.8
49,AR,Carroll,05015,4781.71427815536,27446,,,,,,,,,12708.0,3.4,0.0,0.0,0.0,0.0,0.0,40689,6.3
50,AR,Cleburne,05023,5141.71427815536,25970,,,,,,,,,8970.0,4.6,0.0,0.0,0.0,0.0,0.0,45289,7.5
51,AR,Craighead,05031,6101.71427815536,96443,48.7,47.19999999999999,33.6,,,,,,55682.0,3.3,0.0,0.0,0.0,0.0,0.0,45160,8.3
52,AR,Crawford,05033,5141.71427815536,61948,,,,,,,,,25772.0,3.6,0.0,0.0,0.0,0.0,0.0,40691,6.7
53,AR,Crittenden,05035,7697.71427815536,50902,,,,,,,,,20502.0,5.4,0.0,0.0,0.0,0.0,0.0,45416,9.5
54,AR,Faulkner,05045,7217.71427815536,113237,49.7,51.49999999999999,33.3,,,,,,61033.0,3.5,0.0,0.0,0.0,0.0,0.0,45841,6.8
55,AR,Garland,05051,5837.71427815536,96024,39.8,40.9,45.5,814.0,50.0,87.0,494.0,317.0,40528.0,5.0,0.0,0.0,0.0,0.0,0.0,46897,7.1
56,AR,Greene,05055,5849.71427815536,42090,,,,,,,,,19318.0,3.4,0.0,0.0,0.0,0.0,0.0,41633,9.6
57,AR,Hot Spring,05059,5273.71427815536,32923,,,,,,,,,13797.0,3.9,0.0,0.0,0.0,0.0,0.0,37474,8.4
58,AR,Independence,05063,4685.71427815536,36647,,,,,,,,,16368.0,3.9,0.0,0.0,0.0,0.0,0.0,42120,7.1
59,AR,Jefferson,05069,5333.71427815536,77435,43.2,44.9,39.3,69.0,10.0,7.0,45.0,24.0,26128.0,6.6,0.0,0.0,0.0,0.0,0.0,42076,10.7
60,AR,Johnson,05071,4877.71427815536,25540,,,,,,,,,9835.0,4.7,0.0,0.0,0.0,0.0,0.0,35577,7.3
61,AR,Lonoke,05085,7217.71427815536,68356,48.0,47.9,36.8,,,,,,33141.0,3.3,0.0,0.0,0.0,0.0,0.0,46388,7.2
62,AR,Miller,05091,6293.71427815536,43462,,,,,,,,,18987.0,4.8,0.0,0.0,0.0,0.0,0.0,40319,8
63,AR,Mississippi,05093,5021.71427815536,46480,,,,,,,,,16310.0,7.2,0.0,0.0,0.0,0.0,0.0,,
64,AR,Ouachita,05103,5069.71427815536,26120,,,,,,,,,9716.0,3.9,0.0,0.0,0.0,0.0,0.0,,
65,AR,Pope,05115,5129.71427815536,61754,,,,,,,,,27266.0,4.0,0.0,0.0,0.0,0.0,0.0,,
66,AR,Pulaski,05119,7217.71427815536,382748,46.8,46.6,37.7,2085.0,243.0,243.0,1327.0,749.0,184896.0,4.9,0.0,0.0,0.0,0.0,0.0,,
67,AR,Saline,05125,7217.71427815536,107118,43.4,44.10000000000001,40.6,,,,,,57900.0,3.1,0.0,0.0,0.0,0.0,0.0,,
68,AR,Sebastian,05131,5141.71427815536,125744,46.3,47.4,37.4,,,,,,54294.0,3.7,0.0,0.0,0.0,0.0,0.0,,
69,AR,St. Francis,05123,4685.71427815536,28258,,,,,,,,,7675.0,6.2,0.0,0.0,0.0,0.0,0.0,,
70,AR,Union,05139,5609.71427815536,41639,,,,,,,,,15025.0,6.1,0.0,0.0,0.0,0.0,0.0,,
71,AR,Washington,05143,5825.71427815536,203065,52.19999999999999,53.5,32.8,343.0,80.0,16.0,216.0,123.0,125728.0,2.9,0.0,0.0,0.0,0.0,0.0,,
72,AR,White,05145,5225.71427815536,77076,43.50000000000001,43.1,38.0,,,,,,33712.0,4.0,0.0,0.0,0.0,0.0,0.0,,
73,AZ,Apache,04001,5885.71427815536,71518,42.5,44.2,35.9,,,,,,18700.0,9.1,0.0,0.0,0.0,0.0,0.0,45671,14.7
74,AZ,Cochise,04003,6497.71427815536,131346,41.0,44.1,43.2,,,,,,49027.0,4.8,0.0,0.0,0.0,0.0,0.0,49096,12.9
75,AZ,Coconino,04005,10877.7142781554,134421,47.50000000000001,49.89999999999999,33.0,,,,,,72223.0,6.0,0.0,0.0,0.0,0.0,0.0,56914,9.2
76,AZ,Gila,04007,6857.71427815536,53597,,,,,,,,,20390.0,5.0,0.0,0.0,0.0,0.0,0.0,48752,10.7
77,AZ,Graham,04009,7205.71427815536,37220,,,,,,,,,15695.0,4.1,0.0,0.0,0.0,0.0,0.0,38785,12.4
78,AZ,Maricopa,04013,9209.71427815536,3817117,47.9,48.7,37.3,20352.0,2731.0,1608.0,13115.0,7152.0,2311889.0,4.5,25480756.0,2066299.0,11975900.0,2378741.0,41901696.0,59759,8.1
79,AZ,Mohave,04015,6173.71427815536,200186,32.9,33.6,53.4,,,,,,87215.0,5.5,0.0,0.0,0.0,0.0,0.0,41331,8.6
80,AZ,Navajo,04017,6221.71427815536,107449,39.2,41.2,38.4,,,,,,39276.0,6.5,0.0,0.0,0.0,0.0,0.0,41680,14.1
81,AZ,Pima,04019,6989.71427815536,980263,45.5,46.79999999999999,39.1,2227.0,232.0,225.0,1333.0,869.0,480903.0,5.0,8422699.0,681954.0,3508146.0,589416.0,13202215.0,52942,9
82,AZ,Pinal,04021,9209.71427815536,375770,44.2,47.4,39.8,,,,,,192406.0,4.7,0.0,0.0,0.0,0.0,0.0,43793,9.6
83,AZ,Santa Cruz,04023,5585.71427815536,47420,,,,,,,,,18942.0,8.7,0.0,0.0,0.0,0.0,0.0,46828,13.4
84,AZ,Yavapai,04025,7481.71427815536,211033,31.3,32.2,55.3,,,,,,105108.0,4.1,0.0,0.0,0.0,0.0,0.0,49060,9
85,AZ,Yuma,04027,6029.71427815536,195751,45.3,48.1,35.4,,,,,,93693.0,12.9,0.0,0.0,0.0,0.0,0.0,44299,13.6
86,CA,Alameda,06001,19265.7142781554,1510271,50.7,51.5,38.8,9747.0,583.0,804.0,6036.0,3576.0,809964.0,6.1,12266410.0,1006460.0,7125236.0,2835545.0,23233651.0,99746,10.2
87,CA,Amador,06005,8621.71427815536,38091,,,,625.0,49.0,28.0,367.0,256.0,14342.0,7.0,0.0,0.0,0.0,0.0,0.0,49752,8.3
88,CA,Butte,06007,9521.71427815536,220000,46.4,48.1,36.8,,,,,,92031.0,6.9,0.0,0.0,0.0,0.0,0.0,54694,11.3
89,CA,Calaveras,06009,8381.71427815536,45578,,,,,,,,,21402.0,5.7,0.0,0.0,0.0,0.0,0.0,57726,10
90,CA,Contra Costa,06013,19265.7142781554,1049025,44.6,45.3,40.4,,,,,,542352.0,6.4,4651189.0,368211.0,3451522.0,0.0,8470922.0,99312,8.7
91,CA,Del Norte,06015,7781.71427815536,28610,,,,,,,,,9314.0,7.6,0.0,0.0,0.0,0.0,0.0,43951,12.1
92,CA,El Dorado,06017,10409.7142781554,181058,37.1,38.5,45.7,511.0,14.0,84.0,325.0,167.0,91142.0,5.7,0.0,0.0,0.0,0.0,0.0,78525,7.6
93,CA,Fresno,06019,8021.71427815536,930450,48.0,48.7,33.1,,,,,,443383.0,9.2,9726663.0,856987.0,4249678.0,499903.0,15333231.0,51422,12.4
94,CA,Glenn,06021,6377.71427815536,28122,,,,340.0,107.0,16.0,179.0,161.0,12616.0,6.9,0.0,0.0,0.0,0.0,0.0,50626,13.5
95,CA,Humboldt,06023,7973.71427815536,134623,46.4,49.4,39.9,1648.0,47.0,61.0,1181.0,454.0,58714.0,6.2,0.0,0.0,0.0,0.0,0.0,53607,9.5
96,CA,Imperial,06025,7589.71427815536,174528,46.2,48.9,32.8,,,,,,69075.0,17.3,0.0,0.0,0.0,0.0,0.0,47653,18.8
97,CA,Kern,06029,7325.71427815536,839631,48.900000000000006,50.7,32.5,,,,,,383987.0,10.0,8462437.0,660222.0,3467296.0,496350.0,13086305.0,45961,11.6
98,CA,Kings,06031,8525.71427815536,152982,54.1,59.2,32.2,1235.0,87.0,70.0,769.0,461.0,55930.0,9.6,0.0,0.0,0.0,0.0,0.0,43176,13.1
99,CA,Lake,06033,7613.71427815536,64665,38.1,39.4,43.9,339.0,27.0,25.0,214.0,124.0,28371.0,7.6,0.0,0.0,0.0,0.0,0.0,46918,9.8
100,CA,Lassen,06035,6485.71427815536,34895,,,,,,,,,9159.0,5.9,0.0,0.0,0.0,0.0,0.0,39394,13.7
101,CA,Los Angeles,06037,15401.7142781554,9818605,50.5,51.4,37.8,3808.0,111.0,169.0,2669.0,1060.0,4994057.0,8.9,90914735.0,7446802.0,44116223.0,17618957.0,160096717.0,74141,8.4
102,CA,Madera,06039,8045.71427815536,150865,44.8,42.9,35.1,,,,,,61944.0,8.8,0.0,0.0,0.0,0.0,0.0,45757,11.9
103,CA,Marin,06041,29525.7142781554,252409,36.3,38.3,46.9,,,,,,128920.0,4.5,0.0,0.0,0.0,0.0,0.0,164118,6.1
104,CA,Mendocino,06045,8573.71427815536,87841,39.3,42.2,42.4,,,,,,36920.0,6.2,0.0,0.0,0.0,0.0,0.0,56047,10.6
105,CA,Merced,06047,6953.71427815536,255793,47.7,48.4,31.8,855.0,152.0,63.0,536.0,316.0,115158.0,10.4,0.0,0.0,0.0,0.0,0.0,46580,13.9
106,CA,Monterey,06053,13673.7142781554,415057,46.3,48.3,35.4,2404.0,241.0,226.0,1717.0,656.0,211858.0,8.3,2093734.0,170830.0,838381.0,0.0,3102945.0,63449,8.5
107,CA,Napa,06055,14261.7142781554,136484,43.0,43.9,42.7,495.0,17.0,29.0,321.0,170.0,68437.0,6.0,0.0,0.0,0.0,0.0,0.0,90608,11.1
108,CA,Nevada,06057,9785.71427815536,98764,35.9,36.7,50.2,,,,,,47089.0,5.6,0.0,0.0,0.0,0.0,0.0,,
109,CA,Orange,06059,18377.7142781554,3010232,47.2,47.9,39.2,,,,,,1553897.0,6.0,15423521.0,1225939.0,5114901.0,1988481.0,23752842.0,,
110,CA,Placer,06061,10409.7142781554,348432,40.7,41.8,42.3,1277.0,119.0,68.0,769.0,499.0,188045.0,5.0,0.0,0.0,0.0,0.0,0.0,,
111,CA,Riverside,06065,10625.7142781554,2189641,46.9,47.6,36.6,3316.0,257.0,312.0,2111.0,1185.0,1129562.0,7.3,13131078.0,1127973.0,4458640.0,2587369.0,21305060.0,,
112,CA,Sacramento,06067,10409.7142781554,1418788,48.9,49.900000000000006,37.2,,,,,,714032.0,7.0,10578234.0,861558.0,5813366.0,1177649.0,18430807.0,,
113,CA,San Benito,06069,14669.7142781554,55269,48.3,49.9,35.4,,,,,,31976.0,7.2,0.0,0.0,0.0,0.0,0.0,,
114,CA,San Bernardino,06071,10625.7142781554,2035210,49.5,50.3,34.3,,,,,,988604.0,7.4,14514877.0,1184678.0,6212770.0,0.0,21912325.0,,
115,CA,San Diego,06073,17873.7142781554,3095313,51.0,52.8,36.9,,,,,,1543678.0,6.5,20078479.0,1641125.0,10663289.0,3686397.0,36069290.0,,
116,CA,San Francisco,06075,29525.7142781554,805235,57.1,58.1,40.4,,,,,,,,18139217.0,1479175.0,5896427.0,7162248.0,32677067.0,,
117,CA,San Joaquin,06077,8705.71427815536,685306,47.1,48.1,35.0,2319.0,329.0,96.0,1421.0,891.0,334250.0,8.7,6136524.0,512674.0,2868487.0,0.0,9517685.0,,
118,CA,San Luis Obispo,06079,13145.7142781554,269637,43.2,46.400000000000006,40.2,,,,,,135268.0,5.2,1912980.0,148036.0,1051839.0,0.0,3112855.0,,
119,CA,San Mateo,06081,29525.7142781554,718451,47.1,48.6,40.8,,,,,,431205.0,4.6,2606598.0,205222.0,1617142.0,0.0,4428962.0,,
120,CA,Santa Barbara,06083,18797.7142781554,423895,47.1,49.3,34.6,,,,,,217988.0,5.8,0.0,0.0,0.0,0.0,0.0,,
121,CA,Santa Clara,06085,26585.7142781554,1781642,50.49999999999999,52.00000000000001,38.2,10028.0,539.0,1190.0,6099.0,3722.0,1013614.0,4.7,8927311.0,737828.0,3550726.0,1131945.0,14347810.0,,
122,CA,Santa Cruz,06087,20921.7142781554,262382,45.39999999999999,46.2,39.0,,,,,,133351.0,6.9,0.0,0.0,0.0,0.0,0.0,,
123,CA,Shasta,06089,7889.71427815536,177223,40.5,41.9,41.8,,,,,,72809.0,6.8,0.0,0.0,0.0,0.0,0.0,,
124,CA,Siskiyou,06093,6413.71427815536,44900,,,,,,,,,16561.0,8.1,0.0,0.0,0.0,0.0,0.0,,
125,CA,Solano,06095,13001.7142781554,413344,46.5,48.5,38.9,1179.0,65.0,67.0,771.0,387.0,199365.0,7.5,0.0,0.0,0.0,0.0,0.0,,
126,CA,Sonoma,06097,16157.7142781554,483878,42.9,44.50000000000001,42.7,2893.0,106.0,507.0,1814.0,1005.0,242752.0,5.5,1859218.0,152599.0,887581.0,0.0,2899398.0,,
127,CA,Stanislaus,06099,8429.71427815536,514453,46.8,47.4,34.7,,,,,,239538.0,8.4,4394286.0,360499.0,992925.0,0.0,5747710.0,,
128,CA,Sutter,06101,6881.71427815536,94737,46.5,47.7,36.8,1094.0,276.0,64.0,574.0,518.0,45214.0,9.0,0.0,0.0,0.0,0.0,0.0,,
129,CA,Tehama,06103,6389.71427815536,63463,40.3,40.7,40.7,291.0,40.0,14.0,187.0,104.0,25443.0,7.2,0.0,0.0,0.0,0.0,0.0,,
130,CA,Tulare,06107,7181.71427815536,442179,46.7,47.29999999999999,31.7,1235.0,87.0,70.0,769.0,461.0,200896.0,10.7,0.0,0.0,0.0,0.0,0.0,,
131,CA,Tuolumne,06109,8357.71427815536,55365,,,,,,,,,20042.0,7.3,0.0,0.0,0.0,0.0,0.0,,
132,CA,Ventura,06111,15137.7142781554,823318,45.2,46.400000000000006,39.0,,,,,,404923.0,6.2,4241768.0,342421.0,1458498.0,0.0,6042687.0,,
133,CA,Yolo,06113,10973.7142781554,200849,51.7,52.3,32.7,746.0,91.0,47.0,473.0,272.0,106122.0,5.8,0.0,0.0,0.0,0.0,0.0,,
134,CA,Yuba,06115,6881.71427815536,72155,48.1,49.2,34.1,,,,,,30752.0,8.5,0.0,0.0,0.0,0.0,0.0,,
135,CO,Adams,08001,13241.7142781554,441603,52.2,53.5,34.8,,,,,,276299.0,6.2,0.0,0.0,0.0,0.0,0.0,53183,7.4
136,CO,Arapahoe,08005,13241.7142781554,572003,50.3,51.50000000000001,37.2,,,,,,367171.0,5.8,2904239.0,241052.0,1238811.0,0.0,4384102.0,74267,5.1
137,CO,Boulder,08013,13697.7142781554,294567,49.5,51.2,38.2,,,,,,195616.0,4.4,0.0,0.0,0.0,0.0,0.0,89593,4.4
138,CO,Delta,08029,7253.71427815536,30952,,,,,,,,,14360.0,5.3,0.0,0.0,0.0,0.0,0.0,46042,12.1
140,CO,Denver,08031,13241.7142781554,600158,63.6,64.5,35.1,8199.0,956.0,428.0,5015.0,3073.0,,,6859369.0,569662.0,3221104.0,2017134.0,12667269.0,99133,3.7
141,CO,Douglas,08035,13241.7142781554,285465,45.0,45.8,39.3,,,,,,200746.0,4.1,0.0,0.0,0.0,0.0,0.0,87841,4.7
142,CO,Eagle,08037,12233.7142781554,52197,,,,,,,,,36813.0,4.4,0.0,0.0,0.0,0.0,0.0,97255,8
143,CO,El Paso,08041,8789.71427815536,622263,51.4,53.1,34.9,1406.0,283.0,110.0,855.0,528.0,350677.0,5.6,2997381.0,243746.0,1521171.0,0.0,4762298.0,58627,7.2
145,CO,Fremont,08043,6245.71427815536,46824,,,,,,,,,15860.0,6.9,0.0,0.0,0.0,0.0,0.0,41017,9
146,CO,Garfield,08045,9557.71427815536,56389,,,,,,,,,32254.0,4.7,0.0,0.0,0.0,0.0,0.0,67123,5.3
147,CO,Jefferson,08059,13241.7142781554,534543,48.50000000000001,50.20000000000001,40.2,,,,,,334051.0,5.0,0.0,0.0,0.0,0.0,0.0,74822,3.8
149,CO,La Plata,08067,9605.71427815536,51334,,,,,,,,,31905.0,5.2,0.0,0.0,0.0,0.0,0.0,66944,4.8
150,CO,Larimer,08069,11093.7142781554,299630,51.2,52.7,36.4,,,,,,206492.0,4.7,0.0,0.0,0.0,0.0,0.0,64258,5.9
151,CO,Mesa,08077,6437.71427815536,146723,42.7,44.2,41.1,,,,,,77219.0,5.7,0.0,0.0,0.0,0.0,0.0,52121,5.5
152,CO,Montezuma,08083,6257.71427815536,25535,,,,,,,,,13215.0,5.6,0.0,0.0,0.0,0.0,0.0,50960,6.4
153,CO,Montrose,08085,6785.71427815536,41276,,,,,,,,,22392.0,5.0,0.0,0.0,0.0,0.0,0.0,50789,8.2
154,CO,Morgan,08087,6053.71427815536,28159,,,,,,,,,16212.0,4.9,0.0,0.0,0.0,0.0,0.0,52069,5.8
155,CO,Pueblo,08101,6725.71427815536,159063,43.8,45.8,40.0,,,,,,77498.0,7.9,0.0,0.0,0.0,0.0,0.0,46927,9.2
156,CO,Summit,08117,12077.7142781554,27994,,,,,,,,,22727.0,4.0,0.0,0.0,0.0,0.0,0.0,86390,6.1
157,CO,Weld,08123,8345.71427815536,252825,48.8,49.6,35.2,,,,,,165660.0,5.7,0.0,0.0,0.0,0.0,0.0,,
158,CT,Fairfield,09001,13829.7142781554,916829,42.8,43.7,41.2,,,,,,465448.0,6.1,3208903.0,258173.0,1182820.0,958450.0,5608346.0,127391,2
159,CT,Hartford,09003,10313.7142781554,894014,45.1,46.49999999999999,40.0,2327.0,440.0,161.0,1382.0,940.0,468861.0,6.5,3351552.0,279651.0,1408188.0,1147501.0,6186892.0,70168,4.5
160,CT,Litchfield,09005,9485.71427815536,189927,38.5,39.1,47.6,,,,,,101537.0,5.5,0.0,0.0,0.0,0.0,0.0,74852,5.9
161,CT,Middlesex,09007,10313.7142781554,1668761,40.8,42.1,46.7,,,,,,91071.0,5.2,0.0,0.0,0.0,0.0,0.0,74453,4.5
162,CT,New Haven,09009,12125.7142781554,862477,45.1,45.9,40.5,,,,,,453791.0,6.6,5907918.0,483140.0,2204632.0,1076899.0,9672589.0,64643,5.7
163,CT,New London,09011,9569.71427815536,274055,43.8,46.3,41.6,,,,,,129504.0,6.9,0.0,0.0,0.0,0.0,0.0,63877,4.9
164,CT,Tolland,09013,10313.7142781554,152691,43.6,44.0,37.9,,,,,,83876.0,5.1,0.0,0.0,0.0,0.0,0.0,63722,5
165,CT,Windham,09015,8693.71427815536,162941,44.5,45.5,40.8,,,,,,61835.0,6.2,0.0,0.0,0.0,0.0,0.0,55261,7.3
166,DC,District of Columbia,11001,16241.7142781554,601723,60.89999999999999,60.400000000000006,34.8,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
167,DE,Kent,10001,9293.71427815536,162310,43.8,44.8,38.8,,,,,,81389.0,6.2,0.0,0.0,0.0,0.0,0.0,50432,4.6
168,DE,New Castle,10003,10697.7142781554,538479,45.5,46.8,39.1,2369.0,769.0,200.0,1234.0,1129.0,303427.0,5.3,4501168.0,370171.0,1544439.0,772728.0,7188506.0,63189,4.2
169,DE,Sussex,10005,8537.71427815536,197145,33.4,34.8,51.8,,,,,,111615.0,4.8,0.0,0.0,0.0,0.0,0.0,59472,2.8
170,FL,Alachua,12001,8069.71427815536,247336,53.7,54.5,32.8,925.0,85.0,38.0,605.0,316.0,138458.0,3.7,0.0,0.0,0.0,0.0,0.0,52367,6.5
171,FL,Baker,12003,6257.71427815536,27115,,,,,,,,,12089.0,3.7,0.0,0.0,0.0,0.0,0.0,40735,6.7
172,FL,Bay,12005,9197.71427815536,168852,45.00000000000001,46.39999999999999,41.1,378.0,27.0,21.0,234.0,139.0,85937.0,3.9,0.0,0.0,0.0,0.0,0.0,53980,8.5
173,FL,Bradford,12007,6065.71427815536,28520,,,,,,,,,10791.0,4.2,0.0,0.0,0.0,0.0,0.0,39748,7.1
174,FL,Brevard,12009,8357.71427815536,543376,38.6,40.1,47.0,916.0,131.0,30.0,654.0,261.0,289653.0,4.0,0.0,0.0,0.0,0.0,0.0,55477,6.2
175,FL,Broward,12011,12413.7142781554,1748066,44.7,45.3,41.3,2054.0,252.0,67.0,1401.0,651.0,1029454.0,4.9,2728858.0,217454.0,3657397.0,0.0,6603709.0,64453,6.4
